Component, GAV, License, URL, Scope, Path
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:jar:1.2.4,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation,binary,com.atlassian.jira.plugins.inline-create:jira-inline-issue-create-plugin:0.3.1-D20141030T135301/META-INF/lib/atlassian-spring-scanner-annotation-1.2.4.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-annotation
Atlassian Spring Scanner Core,com.atlassian.plugin:atlassian-spring-scanner-core:jar:1.2.2,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-core,binary,
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:jar:1.2.0,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime,binary,com.atlassian.jira.plugins:jira-importers-plugin:6.2.8/META-INF/lib/atlassian-spring-scanner-runtime-1.2.0.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-runtime
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:jar:1.2.1,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime,binary,com.atlassian.jira.plugins:jira-auditing-plugin:1.4.13/META-INF/lib/atlassian-spring-scanner-runtime-1.2.1.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-runtime
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:jar:1.2.2,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime,binary,
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:jar:1.2.3,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime,binary,com.atlassian.jira.plugins:jira-development-integration-plugin:2.2.15/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-runtime
Atlassian Spring Scanner Runtime,com.atlassian.plugin:atlassian-spring-scanner-runtime:jar:1.2.4,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-runtime,binary,com.atlassian.jira.plugins.inline-create:jira-inline-issue-create-plugin:0.3.1-D20141030T135301/META-INF/lib/atlassian-spring-scanner-runtime-1.2.4.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-runtime
Atlassian Spring,com.atlassian.spring:atlassian-spring:jar:1.1,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Spring,com.atlassian.spring:atlassian-spring:jar:2.0.0,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Trusted Apps - Seraph Integration,com.atlassian.security.auth.trustedapps:atlassian-trusted-apps-seraph-integration:jar:3.0.8,BSD License,http://www.atlassian.com/public-pom/atlassian-trusted-apps/atlassian-trusted-apps-seraph-integration,binary,
